FHDI_Food_ID,Food_Name,Scientific_Name,Common_Name,Description,Group,Subgroup,ITIS_ID,FoodB_ID,DTU_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
F00001,Pomegranate,Punica granatum,Granatum punicum;Punica florida;Punica grandiflora;Punica nana;Punica spinosa;Rhoea punica,"The pomegranate, scientific name Punica granatum, is a fruit-bearing deciduous shrub or small tree growing between 5–8 metres tall. Pomegranates are used in cooking, baking, juices, smoothies and alcoholic beverages, such as martinis and wine.",Fruits,Tropical fruits,27278,FOOD00151,632,22663,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,NA
F00002,Atlantic Herring,Clupea harengus harengus,NA,"Atlantic herring (Clupea harengus) is a herring in the family Clupeidae. It is one of the most abundant fish species on earth. Atlantic herrings can be found on both sides of the Atlantic Ocean, congregating in large schools.",Aquatic foods,Fishes,161724,FOOD00292,48,7950,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,NA
F00003,Pacific Herring,Clupea pallasii,NA,"The Pacific herring, Clupea pallasii, is a species of the herring family associated with the Pacific Ocean environment of North America and northeast Asia. It is a silvery fish with unspined fins and a deeply forked caudal fin.",Aquatic foods,Fishes,551209,FOOD00424,48,30724,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,NA
F00004,"Low-Fat, Low-Calcium Meal",NA,NA,"Low-Fat, Low-Calcium Meal refers to a diet with low fat ratio and low calcium content.",Food combination,Low-Fat Meal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00005,Tamarind,Tamarindus indica,Cavaraea;Cavaraea elegans;Tamarindus erythraeus;Tamarindus occidentalis;Tamarindus officinalis;Tamarindus somalensis;Tamarindus umbrosa,"Tamarind (Tamarindus indica) is a leguminous tree in the family Fabaceae indigenous to tropical Africa. The genus Tamarindus is a monotypic taxon, having only a single species. The tamarind tree produces edible, pod-like fruit which are used extensively in cuisines around the world. Other uses include traditional medicines and metal polishes. The wood can be used in carpentry. Because of the tamarind's many uses, cultivation has spread around the world in tropical and subtropical zones.",Fruits,Tropical fruits,26980,FOOD00180,NA,58860,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Tamarindus,NA
F00006,Anchovy,Engraulidae,NA,"Anchovies are a family (Engraulidae) of small, common salt-water forage fish. There are 144 species in 17 genera, found in the Atlantic, Indian, and Pacific Oceans. Anchovies are usually classified as an oily fish.",Aquatic foods,Fishes,553173,FOOD00566,1034,43062,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,No Rank at Level Family,No Rank at Level Genus,NA
F00007,European Anchovy,Engraulis encrasicolus,NA,The European anchovy (Engraulis encrasicolus) is a forage fish somewhat related to the herring.,Aquatic foods,Fishes,161831,FOOD00362,1034,184585,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,NA
F00008,Mango,Mangifera indica,NA,"The mango is a fleshy stone fruit belonging to the genus Mangifera, consisting of numerous tropical fruiting trees in the flowering plant family Anacardiaceae. The mango is native to South Asia, from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics. While other Mangifera species (e.g. horse mango, M. foetida) are also grown on a more localized basis, Mangifera indica – the 'common mango' or 'Indian mango' – is the only mango tree commonly cultivated in many tropical and subtropical regions. It is the national fruit of India, Philippines and Pakistan. In several cultures, its fruit and leaves are ritually used as floral decorations at weddings, public celebrations and religious ceremonies.",Fruits,Tropical fruits,28803,FOOD00106,NA,29780,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,NA
F00009,Star Fruit,Averrhoa carambola,Balimbing;belimbing;ma fen;kamaranga;omuzabibu;carambolo;carambola;Yang Tao;Ma fueng;Golden Star;Star King;Thayer,Averrhoa carambola is a species of woody plant in the family Oxalidaceae; it has a number of common names including Carambola and Starfruit.,Fruits,Tropical fruits,506371,FOOD00023,579,28974,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Averrhoa,NA
F00010,Cottonseed,Gossypium,NA,Cottonseed is the seed of the cotton plant (gossypium). The mature seeds are brown ovoids weighing about a tenth of a gram.,Spices,Oilseed crops,21709,FOOD00341,NA,3633,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,No Rank at Level Genus,NA
F00011,Fenugreek,Trigonella foenum-graecum,aloo methi;blue fenugreek,"Fenugreek (Trigonella foenum-graecum) is an annual plant in the family Fabaceae, with leaves consisting of three small obovate to oblong leaflets. Fenugreek is used as a herb (dried or fresh leaves), spice (seeds), and vegetable (fresh leaves, sprouts, and microgreens). ",Pulses,Beans,505590,FOOD00186,NA,78534,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trigonella,NA
